School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout,Graduation rate ,Coach YOE,Stadium,Stadium Seats,Win Rate
West Virginia University ,Big 12,Dana Holgorsen,"$3,605,000 ","$3,617,500 ","$1,000,000 ","$90,000 ",$0 ,"$7,150,000 ",83,12,Mountaineer Field at Milan Puskar Stadium,60000,59
Western Kentucky University,C-USA,Mike Sanford Jr.,"$800,000 ","$805,850 ","$400,000 ",$0 ,$0 ,"$1,200,000 ",75,5,Houchens Industries L. T. Smith Stadium,23776,27
Western Michigan University,Mid-American Conference,Tim Lester,"$800,000 ","$800,000 ","$346,500 ","$39,250 ",$0 ,"$800,000 ",74,6,Waldo Stadium,30200,54
University of Wisconsin-Madison,Big Ten,Paul Chryst,"$3,750,000 ","$3,750,000 ",--,"$290,000 ",$0 ,"$6,000,000 ",88,11,Camp Randall Stadium,80321,66
University Wyoming,Mt. West,Craig Bohl,"$1,412,000 ","$1,412,000 ","$450,000 ","$236,000 ",$0 ,"$8,016,667 ",90,9,War Memorial Stadium,29181,48
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
